"AIRPORT","X_id","Year","Month","Dom_Pax_In","Dom_Pax_Out","Dom_Pax_Total","Int_Pax_In","Int_Pax_Out","Int_Pax_Total","Pax_In","Pax_Out","Pax_Total","Latitude","Longitude"
"ADELAIDE",409,2019,1,293965,298986,592951,58221,49255,107476,352186,348241,700427,-34.945,138.5306
"ADELAIDE",410,2019,2,278620,272735,551355,44990,35260,80250,323610,307995,631605,-34.945,138.5306
"ADELAIDE",411,2019,3,314477,318070,632547,38857,39981,78838,353334,358051,711385,-34.945,138.5306
"ADELAIDE",412,2019,4,315393,315365,630758,40996,46294,87290,356389,361659,718048,-34.945,138.5306
"ADELAIDE",413,2019,5,294271,296479,590750,38454,43024,81478,332725,339503,672228,-34.945,138.5306
"ADELAIDE",414,2019,6,279068,275957,555025,40583,47455,88038,319651,323412,643063,-34.945,138.5306
"ADELAIDE",415,2019,7,321154,325056,646210,55934,49299,105233,377088,374355,751443,-34.945,138.5306
"ADELAIDE",416,2019,8,310165,307344,617509,49885,49320,99205,360050,356664,716714,-34.945,138.5306
"ADELAIDE",417,2019,9,308230,308039,616269,53080,51858,104938,361310,359897,721207,-34.945,138.5306
"ADELAIDE",418,2019,10,345636,343411,689047,55867,43338,99205,401503,386749,788252,-34.945,138.5306
"ADELAIDE",419,2019,11,320697,322044,642741,43856,43075,86931,364553,365119,729672,-34.945,138.5306
"ADELAIDE",420,2019,12,311283,311134,622417,48765,60945,109710,360048,372079,732127,-34.945,138.5306
"ADELAIDE",421,2020,1,294269,298774,593043,63966,53541,117507,358235,352315,710550,-34.945,138.5306
"ADELAIDE",422,2020,2,275909,266178,542087,41150,30615,71765,317059,296793,613852,-34.945,138.5306
"ADELAIDE",423,2020,3,192633,193960,386593,23735,18459,42194,216368,212419,428787,-34.945,138.5306
"ADELAIDE",424,2020,4,5462,6383,11845,0,0,0,5462,6383,11845,-34.945,138.5306
"ADELAIDE",425,2020,5,7273,8466,15739,0,0,0,7273,8466,15739,-34.945,138.5306
"ADELAIDE",426,2020,6,12264,12993,25257,26,51,77,12290,13044,25334,-34.945,138.5306
"ADELAIDE",427,2020,7,25774,27491,53265,350,313,663,26124,27804,53928,-34.945,138.5306
"ADELAIDE",428,2020,8,36135,38427,74562,754,661,1415,36889,39088,75977,-34.945,138.5306
"ADELAIDE",429,2020,9,49137,50346,99483,1123,590,1713,50260,50936,101196,-34.945,138.5306
"ADELAIDE",430,2020,10,90979,90918,181897,1509,537,2046,92488,91455,183943,-34.945,138.5306
"ADELAIDE",431,2020,11,70193,73760,143953,959,481,1440,71152,74241,145393,-34.945,138.5306
"ADELAIDE",432,2020,12,112726,108004,220730,1429,710,2139,114155,108714,222869,-34.945,138.5306
"ADELAIDE",433,2021,1,112901,120628,233529,2115,526,2641,115016,121154,236170,-34.945,138.5306
"ADELAIDE",434,2021,2,97732,97565,195297,1919,459,2378,99651,98024,197675,-34.945,138.5306
"ADELAIDE",435,2021,3,171916,171932,343848,2124,413,2537,174040,172345,346385,-34.945,138.5306
"ADELAIDE",436,2021,4,226873,231100,457973,1798,439,2237,228671,231539,460210,-34.945,138.5306
"ADELAIDE",437,2021,5,208206,212298,420504,2823,1464,4287,211029,213762,424791,-34.945,138.5306
"ADELAIDE",438,2021,6,148588,149609,298197,3040,1642,4682,151628,151251,302879,-34.945,138.5306
"ADELAIDE",439,2021,7,65265,66156,131421,2816,2120,4936,68081,68276,136357,-34.945,138.5306
"ADELAIDE",440,2021,8,39127,39952,79079,1063,871,1934,40190,40823,81013,-34.945,138.5306
"ADELAIDE",441,2021,9,78689,81802,160491,1173,681,1854,79862,82483,162345,-34.945,138.5306
"ADELAIDE",442,2021,10,93731,91605,185336,1152,835,1987,94883,92440,187323,-34.945,138.5306
"ADELAIDE",443,2021,11,116813,113929,230742,1180,1299,2479,117993,115228,233221,-34.945,138.5306
"ADELAIDE",444,2021,12,152001,142689,294690,937,2799,3736,152938,145488,298426,-34.945,138.5306
"ADELAIDE",445,2022,1,127555,129736,257291,4211,3718,7929,131766,133454,265220,-34.945,138.5306
